"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"CustomHashtableTests.Benchmark.testAdd","thrpt",4,5,0.004102,0.001317,"ops/us"
"CustomHashtableTests.Benchmark.testGet","thrpt",4,5,0.004020,0.000533,"ops/us"
"CustomHashtableTests.Benchmark.testAdd","avgt",4,5,1197.077996,368.640652,"us/op"
"CustomHashtableTests.Benchmark.testGet","avgt",4,5,1164.856552,661.493087,"us/op"
"CustomHashtableTests.Benchmark.testAdd","sample",4,19245,1036.894844,33.062290,"us/op"
"CustomHashtableTests.Benchmark.testAdd:testAdd·p0.00","sample",4,1,98.304000,NaN,"us/op"
"CustomHashtableTests.Benchmark.testAdd:testAdd·p0.50","sample",4,1,603.136000,NaN,"us/op"
"CustomHashtableTests.Benchmark.testAdd:testAdd·p0.90","sample",4,1,2381.414400,NaN,"us/op"
"CustomHashtableTests.Benchmark.testAdd:testAdd·p0.95","sample",4,1,3223.552000,NaN,"us/op"
"CustomHashtableTests.Benchmark.testAdd:testAdd·p0.99","sample",4,1,5919.703040,NaN,"us/op"
"CustomHashtableTests.Benchmark.testAdd:testAdd·p0.999","sample",4,1,15729.426432,NaN,"us/op"
"CustomHashtableTests.Benchmark.testAdd:testAdd·p0.9999","sample",4,1,30994.635162,NaN,"us/op"
"CustomHashtableTests.Benchmark.testAdd:testAdd·p1.00","sample",4,1,33357.824000,NaN,"us/op"
"CustomHashtableTests.Benchmark.testGet","sample",4,18781,1062.455402,37.645051,"us/op"
"CustomHashtableTests.Benchmark.testGet:testGet·p0.00","sample",4,1,100.480000,NaN,"us/op"
"CustomHashtableTests.Benchmark.testGet:testGet·p0.50","sample",4,1,625.664000,NaN,"us/op"
"CustomHashtableTests.Benchmark.testGet:testGet·p0.90","sample",4,1,2441.216000,NaN,"us/op"
"CustomHashtableTests.Benchmark.testGet:testGet·p0.95","sample",4,1,3321.856000,NaN,"us/op"
"CustomHashtableTests.Benchmark.testGet:testGet·p0.99","sample",4,1,5858.754560,NaN,"us/op"
"CustomHashtableTests.Benchmark.testGet:testGet·p0.999","sample",4,1,14971.699200,NaN,"us/op"
"CustomHashtableTests.Benchmark.testGet:testGet·p0.9999","sample",4,1,41785.235866,NaN,"us/op"
"CustomHashtableTests.Benchmark.testGet:testGet·p1.00","sample",4,1,104202.240000,NaN,"us/op"
"CustomHashtableTests.Benchmark.testAdd","ss",4,5,922.770650,1115.480567,"us/op"
"CustomHashtableTests.Benchmark.testGet","ss",4,5,1065.327450,2023.653038,"us/op"
